connection_id,entity_name,connection_type,place_name,status,confidence,source_magazine,issue_label,source_url
connection:source-item-stairway-https-www-stairwaytohell-com-authors-kblake-por-kblake-html:kevin-blake:candidate,Kevin Blake,reported connection requiring verification,,candidate,low,Stairway To Hell,Stairway To Hell,https://www.stairwaytohell.com/authors/kblake/POR-KBlake.html
connection:source-item-stairway-https-www-stairwaytohell-com-authors-pjohnson-pro-pjohnson-html:peter-johnson:candidate,Peter Johnson,reported connection requiring verification,,candidate,low,Stairway To Hell,A&B Computing / Argus Press,https://www.stairwaytohell.com/authors/pjohnson/PRO-PJohnson.html
connection:source-item-stairway-https-www-stairwaytohell-com-authors-pjohnson-pup-pjohnson-html:peter-johnson:candidate,Peter Johnson,reported connection requiring verification,,candidate,low,Stairway To Hell,Stairway To Hell,https://www.stairwaytohell.com/authors/pjohnson/PUP-PJohnson.html
connection:source-item-stairway-https-www-stairwaytohell-com-authors-pjohnson-sg-pjohnson-html:peter-johnson:candidate,Peter Johnson,reported connection requiring verification,,candidate,low,Stairway To Hell,Stairway To Hell,https://www.stairwaytohell.com/authors/pjohnson/SG-PJohnson.html
connection:source-item-stairway-https-www-stairwaytohell-com-authors-pscott-ab-diaryofagame-omegaorb-html:peter-scott:candidate,Peter Scott,reported connection requiring verification,,candidate,low,Stairway To Hell,A&B Computing,https://www.stairwaytohell.com/authors/pscott/AB-DiaryOfAGame-OmegaOrb.html
connection:source-item-stairway-https-www-stairwaytohell-com-authors-pscott-mujul90-peterscott-html:peter-scott:candidate,Peter Scott,reported connection requiring verification,,candidate,low,Stairway To Hell,Micro User / Database Publications,https://www.stairwaytohell.com/authors/pscott/MUJUL90-PeterScott.html
connection:source-item-stairway-https-www-stairwaytohell-com-authors-pscott-pro-pscott-html:peter-scott:candidate,Peter Scott,reported connection requiring verification,,candidate,low,Stairway To Hell,A&B Computing / Argus Press,https://www.stairwaytohell.com/authors/pscott/PRO-PScott.html
connection:source-item-stairway-https-www-stairwaytohell-com-authors-pscott-sg-peterscott-html:peter-scott:candidate,Peter Scott,reported connection requiring verification,,candidate,low,Stairway To Hell,Stairway To Hell,https://www.stairwaytohell.com/authors/pscott/SG-PeterScott.html
connection:source-item-wikipedia-platform-lists-list-of-commodore-64-games-n-z-repton-superior-software:superior-software:candidate,Superior Software,reported connection requiring verification,,candidate,low,Wikipedia,,https://en.wikipedia.org/w/index.php?title=List_of_Commodore_64_games_(N%E2%80%93Z)&oldid=1344901139
connection:source-item-wikipedia-platform-lists-list-of-zx-spectrum-games-by-fair-means-or-foul:superior-software:candidate,Superior Software,reported connection requiring verification,,candidate,low,Wikipedia,,https://en.wikipedia.org/w/index.php?title=List_of_ZX_Spectrum_games&oldid=1359444555
connection:source-item-wikipedia-platform-lists-list-of-zx-spectrum-games-repton-mania:superior-software:candidate,Superior Software,reported connection requiring verification,,candidate,low,Wikipedia,,https://en.wikipedia.org/w/index.php?title=List_of_ZX_Spectrum_games&oldid=1359444555
