queue_id,entity_type,current_internal_entity,current_internal_label,external_record,external_label,source_system,match_score,reason,conflict_notes,suggested_action,decision
organisation-3332,organisation,,,assertion:wikipedia:list-of-zx-spectrum-games:shadow-warriors:licensed-from-as-printed:temco,Temco,wikipedia,0.00,no canonical exact match,duplicate external label; queue each row and do not merge automatically,review-new-candidate,unresolved
organisation-3333,organisation,organisation:ocean-software,Ocean Software,assertion:wikipedia:list-of-zx-spectrum-games:shadow-warriors:publisher-as-printed:ocean-software,Ocean Software,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
organisation-3334,organisation,,,assertion:wikipedia:list-of-zx-spectrum-games:shadowfire:developer-as-printed:denton-designs-steven-cain-simon-butler,"Denton Designs ( Steven Cain , Simon Butler )",wikipedia,0.00,no canonical exact match,duplicate external label; queue each row and do not merge automatically,review-new-candidate,unresolved
organisation-3335,organisation,organisation:beyond-software,Beyond Software,assertion:wikipedia:list-of-zx-spectrum-games:shadowfire:publisher-as-printed:beyond-software,Beyond Software,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
organisation-3336,organisation,,,assertion:wikipedia:list-of-zx-spectrum-games:shadows-of-mordor-game-two-of-lord-of-the-rings:developer-as-printed:beam-software-ted-nasmith,Beam Software (Ted Nasmith),wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
organisation-3337,organisation,,,assertion:wikipedia:list-of-zx-spectrum-games:shadows-of-mordor-game-two-of-lord-of-the-rings:licensed-from-as-printed:j-r-r-tolkien,J. R. R. Tolkien,wikipedia,0.00,no canonical exact match,duplicate external label; queue each row and do not merge automatically,review-new-candidate,unresolved
organisation-3338,organisation,organisation:melbourne-house,Melbourne House,assertion:wikipedia:list-of-zx-spectrum-games:shadows-of-mordor-game-two-of-lord-of-the-rings:publisher-as-printed:melbourne-house,Melbourne House,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
organisation-3339,organisation,organisation:richard-shepherd-software,Richard Shepherd Software,assertion:wikipedia:list-of-zx-spectrum-games:shaken-but-not-stirred:developer-as-printed:richard-shepherd-software,Richard Shepherd Software,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
organisation-3340,organisation,organisation:richard-shepherd-software,Richard Shepherd Software,assertion:wikipedia:list-of-zx-spectrum-games:shaken-but-not-stirred:publisher-as-printed:richard-shepherd-software,Richard Shepherd Software,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
organisation-3341,organisation,,,assertion:wikipedia:list-of-zx-spectrum-games:shaky-game-the:licensed-from-as-printed:shakin-stevens,Shakin' Stevens,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
organisation-3342,organisation,organisation:olympic-software,Olympic Software,assertion:wikipedia:list-of-zx-spectrum-games:shaky-game-the:publisher-as-printed:olympic-software,Olympic Software,wikipedia,0.95,normalised exact label match,,review-existing-match,unresolved
organisation-3343,organisation,,,assertion:wikipedia:list-of-zx-spectrum-games:shanghai-karate:developer-as-printed:one-week-productions-kevin-parker-colin-swinbourne-martin-severn-andrew-severn,"One Week Productions (Kevin Parker, Colin Swinbourne , Martin Severn , Andrew Severn )",wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
organisation-3344,organisation,organisation:players-software,Players Software,assertion:wikipedia:list-of-zx-spectrum-games:shanghai-karate:publisher-as-printed:players-software,Players Software,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
organisation-3345,organisation,,,assertion:wikipedia:list-of-zx-spectrum-games:shanghai-warriors:developer-as-printed:one-week-productions-kevin-parker-colin-swinbourne-martin-severn-andrew-severn-mike-brown,"One Week Productions (Kevin Parker, Colin Swinbourne , Martin Severn , Andrew Severn , Mike Brown)",wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
organisation-3346,organisation,organisation:players-software,Players Software,assertion:wikipedia:list-of-zx-spectrum-games:shanghai-warriors:publisher-as-printed:players-software,Players Software,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
organisation-3347,organisation,,,assertion:wikipedia:list-of-zx-spectrum-games:shao-lins-road:developer-as-printed:mike-leaman-stephen-cargill,"Mike Leaman , Stephen Cargill",wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
organisation-3348,organisation,organisation:konami,Konami,assertion:wikipedia:list-of-zx-spectrum-games:shao-lins-road:licensed-from-as-printed:konami,Konami,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
organisation-3349,organisation,organisation:edge-software,Edge Software,assertion:wikipedia:list-of-zx-spectrum-games:shao-lins-road:publisher-as-printed:edge-software,Edge Software,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
organisation-3350,organisation,,,assertion:wikipedia:list-of-zx-spectrum-games:shard-of-inovar:developer-as-printed:les-hogarth-clive-wilson,"Les Hogarth, Clive Wilson",wikipedia,0.00,no canonical exact match,duplicate external label; queue each row and do not merge automatically,review-new-candidate,unresolved
organisation-3351,organisation,organisation:bulldog,Bulldog,assertion:wikipedia:list-of-zx-spectrum-games:shard-of-inovar:publisher-as-printed:bulldog,Bulldog,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
organisation-3352,organisation,,,assertion:wikipedia:list-of-zx-spectrum-games:shark:developer-as-printed:paul-griffiths-martin-severn-ian-sheridan-andrew-severn,"Paul Griffiths, Martin Severn , Ian Sheridan, Andrew Severn )",wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
organisation-3353,organisation,organisation:players-premier-software,Players Premier Software,assertion:wikipedia:list-of-zx-spectrum-games:shark:publisher-as-printed:players-premier-software,Players Premier Software,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
organisation-3354,organisation,,,assertion:wikipedia:list-of-zx-spectrum-games:sharkeys-moll:developer-as-printed:brian-beuken-michael-a-sanderson-sound-images,"Brian Beuken , Michael A. Sanderson , Sound Images",wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
organisation-3355,organisation,organisation:zeppelin-games,Zeppelin Games,assertion:wikipedia:list-of-zx-spectrum-games:sharkeys-moll:publisher-as-printed:zeppelin-games,Zeppelin Games,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
