connection_id,entity_name,connection_type,place_name,status,confidence,source_magazine,issue_label,source_url
connection:source-item-globalnet-spot-kickbox-vigilante-zeppelin-games:zeppelin-games:probable,Zeppelin Games,publisher only - North East attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 2660,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-las-vegas-casino-zeppelin-games:zeppelin-games:probable,Zeppelin Games,publisher only - North East attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 1518,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-lone-wolf-the-mirror-of-death-audiogenic-software:audiogenic:probable,Audiogenic,publisher only - external publisher attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 3777,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-loopz-audiogenic-software:audiogenic:probable,Audiogenic,publisher only - external publisher attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 2649,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-lunar-buggy-robert-stockton:lunar-buggy:candidate,Lunar Buggy,reported connection requiring verification,Stockton-on-Tees,candidate,low,Spot On,SPOT FGAMES link 2779,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-lunar-flights-robert-stockton:lunar-flights:candidate,Lunar Flights,reported connection requiring verification,Stockton-on-Tees,candidate,low,Spot On,SPOT FGAMES link 4337,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-match-of-the-day-zeppelin-games:zeppelin-games:probable,Zeppelin Games,publisher only - North East attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 3952,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-merry-xmas-santa-icon-software:icon-software:probable,Icon Software,publisher only - North East attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 7556,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-micro-value-pack-tynesoft:tynesoft:probable,Tynesoft,publisher only - North East attribution awaiting review,Blaydon,probable,medium,Spot On,SPOT FGAMES link 4647,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-mountain-bike-racer-zeppelin-games:zeppelin-games:probable,Zeppelin Games,publisher only - North East attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 2502,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-ninja-commando-zeppelin-games:zeppelin-games:probable,Zeppelin Games,publisher only - North East attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 3910,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-para-assault-course-zeppelin-games:zeppelin-games:probable,Zeppelin Games,publisher only - North East attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 2308,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-pass-your-driving-test-audiogenic-software:audiogenic:probable,Audiogenic,publisher only - external publisher attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 2054,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-phileas-foggs-balloon-battles-zeppelin-games:zeppelin-games:probable,Zeppelin Games,publisher only - North East attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 4172,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-professional-go-kart-simulator-zeppelin-games:zeppelin-games:probable,Zeppelin Games,publisher only - North East attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 3794,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-q-10-tankbuster-zeppelin-games:zeppelin-games:probable,Zeppelin Games,publisher only - North East attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 5241,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-race-pack-4-zeppelin-games:zeppelin-games:probable,Zeppelin Games,publisher only - North East attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 5297,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-rally-simulator-zeppelin-games:zeppelin-games:probable,Zeppelin Games,publisher only - North East attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 1537,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-reflections-artic-computing:reflections:probable,Reflections,publisher only - North East attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 5065,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-repton-mania-superior-software:superior-software:candidate,Superior Software,reported connection requiring verification,,candidate,low,Spot On,SPOT FGAMES link 1369,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-repton-superior-software:superior-software:candidate,Superior Software,reported connection requiring verification,,candidate,low,Spot On,SPOT FGAMES link 6393,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-sabotage-zeppelin-games:zeppelin-games:probable,Zeppelin Games,publisher only - North East attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 1270,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-santas-christmas-caper-zeppelin-games:zeppelin-games:probable,Zeppelin Games,publisher only - North East attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 5025,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-sharkeys-moll-zeppelin-games:zeppelin-games:probable,Zeppelin Games,publisher only - North East attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 4070,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-sleepwalker-zeppelin-games:zeppelin-games:probable,Zeppelin Games,publisher only - North East attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 3959,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-snake-robert-stockton:snake:candidate,Snake,reported connection requiring verification,Stockton-on-Tees,candidate,low,Spot On,SPOT FGAMES link 2817,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-spaghetti-western-simulator-zeppelin-games:zeppelin-games:probable,Zeppelin Games,publisher only - North East attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 2577,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-stack-up-zeppelin-games:zeppelin-games:probable,Zeppelin Games,publisher only - North East attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 4082,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-summer-olympiad-tynesoft:tynesoft:probable,Tynesoft,publisher only - North East attribution awaiting review,Blaydon,probable,medium,Spot On,SPOT FGAMES link 4029,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-super-gran-the-adventure-tynesoft:tynesoft:probable,Tynesoft,publisher only - North East attribution awaiting review,Blaydon,probable,medium,Spot On,SPOT FGAMES link 5678,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-super-gran-tynesoft:tynesoft:probable,Tynesoft,publisher only - North East attribution awaiting review,Blaydon,probable,medium,Spot On,SPOT FGAMES link 1810,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-superior-software-superior-software:superior-software:candidate,Superior Software,reported connection requiring verification,,candidate,low,Spot On,SPOT FGAMES link 6035,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-superman-the-man-of-steel-tynesoft:tynesoft:probable,Tynesoft,publisher only - North East attribution awaiting review,Blaydon,probable,medium,Spot On,SPOT FGAMES link 4051,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-sword-of-the-samurai-zeppelin-games:zeppelin-games:probable,Zeppelin Games,publisher only - North East attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 5291,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-tai-chi-tortoise-zeppelin-games:zeppelin-games:probable,Zeppelin Games,publisher only - North East attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 4824,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-titanic-blinky-zeppelin-games:zeppelin-games:probable,Zeppelin Games,publisher only - North East attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 4658,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-tynesoft-tynesoft:tynesoft:probable,Tynesoft,publisher only - North East attribution awaiting review,Blaydon,probable,medium,Spot On,SPOT FGAMES link 6083,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-who-said-that-colin-the-cleaner-tynesoft:tynesoft:probable,Tynesoft,publisher only - North East attribution awaiting review,Blaydon,probable,medium,Spot On,SPOT FGAMES link 4111,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-winter-olympiad-88-tynesoft:tynesoft:probable,Tynesoft,publisher only - North East attribution awaiting review,Blaydon,probable,medium,Spot On,SPOT FGAMES link 2161,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-world-class-cricket-audiogenic-software:audiogenic:probable,Audiogenic,publisher only - external publisher attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 6090,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-world-class-rugby-audiogenic-software:audiogenic:probable,Audiogenic,publisher only - external publisher attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 4606,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-world-cricket-zeppelin-games:zeppelin-games:probable,Zeppelin Games,publisher only - North East attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 4174,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-world-rugby-zeppelin-games:zeppelin-games:probable,Zeppelin Games,publisher only - North East attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 5319,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-world-soccer-zeppelin-games:zeppelin-games:probable,Zeppelin Games,publisher only - North East attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 2505,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
connection:source-item-globalnet-spot-wreckers-audiogenic-software:audiogenic:probable,Audiogenic,publisher only - external publisher attribution awaiting review,Newcastle upon Tyne,probable,medium,Spot On,SPOT FGAMES link 2675,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip
