queue_id,entity_type,current_internal_entity,current_internal_label,external_record,external_label,source_system,match_score,reason,conflict_notes,suggested_action,decision
game-2182,game,,,assertion:wikipedia:list-of-commodore-64-games-n-z:zork-i:title-seed:zork-i,Zork I,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-2183,game,,,assertion:wikipedia:list-of-commodore-64-games-n-z:zork-ii-the-wizard-of-frobozz:title-seed:zork-ii-the-wizard-of-frobozz,Zork II - The Wizard of Frobozz,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-2184,game,,,assertion:wikipedia:list-of-commodore-64-games-n-z:zork-iii-the-dungeon-master:title-seed:zork-iii-the-dungeon-master,Zork III - The Dungeon Master,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-2185,game,,,assertion:wikipedia:list-of-commodore-64-games-n-z:zork-the-undiscovered-underground:title-seed:zork-the-undiscovered-underground,Zork: The Undiscovered Underground,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-2186,game,game:zorro,Zorro,assertion:wikipedia:list-of-commodore-64-games-n-z:zorro:title-seed:zorro,Zorro,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2187,game,game:zub,Zub,assertion:wikipedia:list-of-commodore-64-games-n-z:zub:title-seed:zub,Zub,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2188,game,,,assertion:wikipedia:list-of-commodore-64-games-n-z:zuul:title-seed:zuul,Zuul,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-2189,game,game:zybex,Zybex,assertion:wikipedia:list-of-commodore-64-games-n-z:zybex:title-seed:zybex,Zybex,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2190,game,game:zynaps,Zynaps,assertion:wikipedia:list-of-commodore-64-games-n-z:zynaps:title-seed:zynaps,Zynaps,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2191,game,,,assertion:wikipedia:list-of-commodore-64-games-n-z:zzzzz:title-seed:zzzzz,Zzzzz,wikipedia,0.00,no canonical exact match,,review-new-candidate,unresolved
game-2192,game,game:10th-frame,10th Frame,assertion:wikipedia:list-of-zx-spectrum-games:10th-frame:developer-as-printed:john-prince-donald-campbell,10th Frame,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2193,game,game:10th-frame,10th Frame,assertion:wikipedia:list-of-zx-spectrum-games:10th-frame:licensed-from-as-printed:access-software,10th Frame,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2194,game,game:10th-frame,10th Frame,assertion:wikipedia:list-of-zx-spectrum-games:10th-frame:publisher-as-printed:u-s-gold,10th Frame,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2195,game,game:10th-frame,10th Frame,assertion:wikipedia:list-of-zx-spectrum-games:10th-frame:release-date-as-printed:1987,10th Frame,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2196,game,game:10th-frame,10th Frame,assertion:wikipedia:list-of-zx-spectrum-games:10th-frame:title-seed:10th-frame,10th Frame,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2197,game,game:180,180,assertion:wikipedia:list-of-zx-spectrum-games:180:developer-as-printed:ste-pickford-david-whittaker,180,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2198,game,game:180,180,assertion:wikipedia:list-of-zx-spectrum-games:180:publisher-as-printed:mastertronic-added-dimension,180,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2199,game,game:180,180,assertion:wikipedia:list-of-zx-spectrum-games:180:release-date-as-printed:1986,180,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2200,game,game:180,180,assertion:wikipedia:list-of-zx-spectrum-games:180:title-seed:180,180,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2201,game,game:19-part-one-boot-camp,19 Part One: Boot Camp,assertion:wikipedia:list-of-zx-spectrum-games:19-part-one-boot-camp:developer-as-printed:paul-laidlaw-tony-warriner-sean-conran-damon-redmond,19 Part One: Boot Camp,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2202,game,game:19-part-one-boot-camp,19 Part One: Boot Camp,assertion:wikipedia:list-of-zx-spectrum-games:19-part-one-boot-camp:publisher-as-printed:cascade-games,19 Part One: Boot Camp,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2203,game,game:19-part-one-boot-camp,19 Part One: Boot Camp,assertion:wikipedia:list-of-zx-spectrum-games:19-part-one-boot-camp:release-date-as-printed:1988,19 Part One: Boot Camp,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2204,game,game:19-part-one-boot-camp,19 Part One: Boot Camp,assertion:wikipedia:list-of-zx-spectrum-games:19-part-one-boot-camp:title-seed:19-part-one-boot-camp,19 Part One: Boot Camp,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
game-2205,game,game:1942,1942,assertion:wikipedia:list-of-zx-spectrum-games:1942:developer-as-printed:dominic-wood,1942,wikipedia,0.95,normalised exact label match,duplicate external label; queue each row and do not merge automatically,review-existing-match,unresolved
