Record_ID,Title,Platform,Source system,Source URL,Evidence status,Review status,Notes
source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-indexb-html:defender-and-modified-defender-acornsoft,DEFENDER & MODIFIED DEFENDER,BBC Micro / Acorn Electron,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/indexb.html,Secondary database evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-indexb-html:demo-by-peter-johnson-superior,DEMO,BBC Micro / Acorn Electron,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/indexb.html,Secondary database evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:stairway-catalogue:https-www-stairwaytohell-com-electron-d-html:depotmaster-finsbury-park:ashley-greenup,DEPOTMASTER FINSBURY PARK,Acorn Electron,Stairway To Hell,https://www.stairwaytohell.com/electron/d.html,Secondary database evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:stairway-catalogue:https-www-stairwaytohell-com-electron-d-html:depotmaster-old-oak-common:ashley-greenup,DEPOTMASTER OLD OAK COMMON,Acorn Electron,Stairway To Hell,https://www.stairwaytohell.com/electron/d.html,Secondary database evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:stairway-catalogue:https-www-stairwaytohell-com-electron-d-html:despatch-rider:audiogenic,DESPATCH RIDER,Acorn Electron,Stairway To Hell,https://www.stairwaytohell.com/electron/d.html,Secondary database evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:destiny,DESTINY,BBC Micro / Acorn Electron,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,Secondary database evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:destroyers-ii-by-david-elliot-micropower,DESTROYERS II,BBC Micro / Acorn Electron,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,Secondary database evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:stairway-catalogue:https-www-stairwaytohell-com-electron-d-html:diamond-mine:blue-ribbon-rr,DIAMOND MINE,Acorn Electron,Stairway To Hell,https://www.stairwaytohell.com/electron/d.html,Secondary database evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:stairway-catalogue:https-www-stairwaytohell-com-electron-d-html:diamond-mine:mrm,DIAMOND MINE,Acorn Electron,Stairway To Hell,https://www.stairwaytohell.com/electron/d.html,Secondary database evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:stairway-catalogue:https-www-stairwaytohell-com-electron-d-html:diamond-mine-2:blue-ribbon,DIAMOND MINE 2,Acorn Electron,Stairway To Hell,https://www.stairwaytohell.com/electron/d.html,Secondary database evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:stairway-catalogue:https-www-stairwaytohell-com-electron-d-html:diamond-pete:alligata,DIAMOND PETE,Acorn Electron,Stairway To Hell,https://www.stairwaytohell.com/electron/d.html,Secondary database evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:stairway-catalogue:https-www-stairwaytohell-com-electron-d-html:dogfight:opus,DOGFIGHT,Acorn Electron,Stairway To Hell,https://www.stairwaytohell.com/electron/d.html,Secondary database evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:stairway-catalogue:https-www-stairwaytohell-com-electron-d-html:dominoes:blue-ribbon,DOMINOES,Acorn Electron,Stairway To Hell,https://www.stairwaytohell.com/electron/d.html,Secondary database evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:stairway-catalogue:https-www-stairwaytohell-com-electron-d-html:drain-mania:icon,DRAIN MANIA,Acorn Electron,Stairway To Hell,https://www.stairwaytohell.com/electron/d.html,Secondary database evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:stairway-catalogue:https-www-stairwaytohell-com-electron-d-html:draughts:computer-concepts,DRAUGHTS,Acorn Electron,Stairway To Hell,https://www.stairwaytohell.com/electron/d.html,Secondary database evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:stairway-catalogue:https-www-stairwaytohell-com-electron-d-html:draughts:superior,DRAUGHTS,Acorn Electron,Stairway To Hell,https://www.stairwaytohell.com/electron/d.html,Secondary database evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:stairway-catalogue:https-www-stairwaytohell-com-electron-d-html:draughts-and-reversi:acornsoft,DRAUGHTS & REVERSI,Acorn Electron,Stairway To Hell,https://www.stairwaytohell.com/electron/d.html,Secondary database evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:stairway-catalogue:https-www-stairwaytohell-com-electron-d-html:dunjunz:bug-byte,DUNJUNZ,Acorn Electron,Stairway To Hell,https://www.stairwaytohell.com/electron/d.html,Secondary database evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
source-item:stairway:https-www-stairwaytohell-com-authors-dcroft-mpr-dcroft-html,Dave Croft mini-profile,BBC Micro / Acorn Electron,Stairway To Hell,https://www.stairwaytohell.com/authors/dcroft/MPR-DCroft.html,Secondary database evidence,Auto-imported,"Metadata only; no binaries, images, scans or long text copied."
